$tag,learning_rate,w_decay,dropout_pct,pct_warmup,w_surrogate_tasks,max_grad_norm,experiment,PC_Boarding,PC_Alighting,ST_Delay,ST_Dwell
SA51,0.000371232,0.00104108,0.216,0.033,0.25,2.0,smtM24-11061833,0.547777,0.712237,0.164353,0.342839
SA52,0.000267064,0.00400707,0.171,0.041,0.75,2.0,smtM24-11061842,0.545445,0.71315,0.166357,0.349117
SA53,0.000308111,0.00693268,0.115,0.063,1.0,2.0,smtM24-11061852,0.543766,0.703601,0.163696,0.308245
SA54,0.000229085,0.00345355,0.154,0.111,1.25,5.0,smtM24-11061859,0.55086,0.716439,0.192664,0.342541
SA55,0.000251296,0.00284854,0.198,0.099,1.0,0.5,smtM24-11061909,0.536906,0.702258,0.129436,0.347481
SA56,0.000290025,0.0104474,0.03,0.073,1.25,5.0,smtM24-11061916,0.533904,0.694493,0.135246,0.350245
SA57,0.00056583,0.0166781,0.156,0.026,1.0,1.0,smtM24-11061923,0.537586,0.697355,0.164666,0.360319
SA58,0.000286393,0.0133489,0.045,0.125,1.0,1.0,smtM24-11061931,0.540619,0.70841,0.182097,0.337894
SA59,0.00049179,0.00177024,0.003,0.106,1.25,2.0,smtM24-11061939,0.52288,0.6886,0.124324,0.322454
SA60,0.000295944,0.0018856,0.051,0.085,1.25,1.0,smtM24-11061944,0.547698,0.714396,0.1788,0.331125
SA61,0.000151235,0.0119423,0.24,0.051,0.75,0.5,smtM24-11061953,0.537535,0.707513,0.164932,0.344904
SA62,0.000484038,0.00177571,0.065,0.059,0.25,1.0,smtM24-11062003,0.537347,0.699341,0.144692,0.338737
SA63,0.000411478,0.000679604,0.048,0.135,1.0,5.0,smtM24-11062009,0.53772,0.699601,0.157877,0.337683
SA64,0.000493987,0.0138965,0.125,0.139,1.25,0.5,smtM24-11062016,0.547516,0.696859,0.138035,0.346586
SA65,0.000465588,0.00124342,0.2,0.087,0.75,5.0,smtM24-11062023,0.549035,0.716133,0.192371,0.344785
SA66,0.000409461,0.00195705,0.166,0.068,1.0,1.0,smtM24-11062032,0.552392,0.715232,0.179696,0.347714
SA67,0.000382382,0.0181859,0.164,0.075,0.75,1.0,smtM24-11062042,0.553865,0.712741,0.193707,0.343974
SA68,0.00032406,0.00306523,0.189,0.083,1.25,0.5,smtM24-11062052,0.551285,0.712543,0.170533,0.345493
SA69,0.000170139,0.000923552,0.179,0.052,0.75,5.0,smtM24-11062102,0.552749,0.715013,0.189248,0.349899
SA70,0.000285137,0.00424484,0.196,0.06,0.25,5.0,smtM24-11062111,0.542608,0.693253,0.118383,0.325441
SA71,0.000347129,0.0151751,0.15,0.039,0.5,5.0,smtM24-11062117,0.546827,0.711303,0.133755,0.313994
